landingPage,product_rank,page_rank,id,name,pro_url,pro_code,price,ratingStar,commentCount,marketingShortDescription,image
,0,2,WMD00000496_0e49db5e-0834-41ba-84fe-f796497ba9fc,Legion Tower 5i Gen 6 (Intel),https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/Legion-Tower-5i-Gen-6-(Intel)/WMD00000496,WMD00000496,1229.99,4.6,563,"<ul style=""list-style-type: disc;""><li><p>Gaming PC with 11<sup>th</sup> Gen Intel<sup>®</sup> Core™ power</p></li><li><p>Up to NVIDIA<sup>®</sup> GeForce RTX™ 30 Series graphics</p></li><li><p>Sleek 26 L tower with Raven Black frame</p></li></ul>",https://p1-ofp.static.pub/fes/cms/2022/09/29/57p3xbdezt42uuwg2mjwcsywolfswo185156.png
,1,2,LEN102G0003_0e49db5e-0834-41ba-84fe-f796497ba9fc,Legion Tower 7i Gen 7 (Intel),https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/Legion-Tower-7i-Gen-7-(Intel)/LEN102G0003,LEN102G0003,1629.99,4.6,298,"<ul style=""list-style-type: disc;""><li><p>Up to 12<sup>th</sup>&nbsp;Gen Intel<sup>®</sup>&nbsp;Core<sup>™</sup> i9-12900K</p></li><li><p>Up to NVIDIA<sup>®</sup>&nbsp;GeForce<sup><span style=""font-size: 13.3333px;"">®</span></sup> RTX™ 3080 Ti</p></li><li><p>3 x 120mm fans; optional 360mm liquid cooling</p></li></ul>",https://p2-ofp.static.pub/fes/cms/2022/01/10/l8n3dx6ka5r0nlx4nc7nixpkvtfgtz985425.png
,2,2,33TS3TPP720_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkStation P720,https://www.lenovo.com/us/en/p/workstations/thinkstation-p-towers/ThinkStation-P720/33TS3TPP720,33TS3TPP720,2358.95,4.3,41,"<ul><li><p>Feature-rich, dual-processor workstation</p></li><li><p>Unparalleled versatility &amp; steadfast reliability</p></li><li><p>Ideal for the most demanding workflows</p></li></ul>",https:https://static.lenovo.com/na/subseries/series-thumbnail/lenovo-thinkstation-p720-tower-series-thumbnail.png
,3,2,WMD00000404_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M70t,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-towers/ThinkCentre-M70t/WMD00000404,WMD00000404,425.00,4.3,38,<ul><li>13.6L tower with room for expansion</li> <li>Latest 10th Gen Intel® Core processors</li> <li>Data &amp; hardware security built-in</li></ul>,https://p4-ofp.static.pub/fes/cms/2022/07/15/9795i4r90d6ldfm411i7ib5z2uk34z870418.png
,4,2,99IC9300342_0e49db5e-0834-41ba-84fe-f796497ba9fc,IdeaCentre 3 07ADA05,https://www.lenovo.com/us/en/p/desktops/ideacentre/300-series/IdeaCentre-3-07ADA05/99IC9300342,99IC9300342,399.99,4.1,971,"<ul><li>Powerful budget friendly AMD Ryzen processing</li><li>Ports include 8 USB, HDMI, and optical disk drive</li><li>Great for home use</li></ul>",https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTI5NDB8aW1hZ2UvcG5nfGg3Yy9oZmIvMTA4Mjc3NTY4OTYyODYucG5nfGIzNWE3ZmY5OTM1YTA2ODJkODkwNTc2YjQyOWI3YjcxZDE0Y2QyMmMwNTczYjhhMGVhYjkzOThkODEzNzVhOTU/desktop-ideacentre-300serires-3-amd-front.png
,5,2,33TS3TPP920_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkStation P920,https://www.lenovo.com/us/en/p/workstations/thinkstation-p-towers/ThinkStation-P920/33TS3TPP920,33TS3TPP920,2639.45,4.2,72,"<ul><li><p>Top-of-the-line, dual-processor workstation</p></li><li><p>Groundbreaking GPU performance</p></li><li><p>Ideal for the highest-performance workflows</p></li></ul>",https:https://static.lenovo.com/na/subseries/thumbs/lenovo-thinkstation-p920-series-thumbnail.png
,0,2,LEN102G0004_0e49db5e-0834-41ba-84fe-f796497ba9fc,Legion Tower 5i Gen 7 (Intel),https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/Legion-Tower-5i-Gen-7-(Intel)/LEN102G0004,LEN102G0004,1139.99,4.5,180,"<ul style=""list-style-type: disc;""><li><p>Accelerated processor &amp; graphics performance with Intel<sup>®</sup> Turbo Boost Technology</p></li><li><p>Enjoy the most realistic ray-traced graphics and cutting-edge AI features with NVIDIA</p></li><li><p>Enhanced cooling technology, 3 months free Xbox Game Pass &amp; more</p></li></ul>",https://p1-ofp.static.pub/fes/cms/2022/01/17/1n49p6jjgcbiz9nxtzfc9j8jonthi7387108.png
,1,2,LEN102C0007_0e49db5e-0834-41ba-84fe-f796497ba9fc,"ThinkCentre Neo 30a (24"" Intel) AIO",https://www.lenovo.com/us/en/p/desktops/thinkcentre/thinkcentre-neo-series/ThinkCentre-Neo-30a-(24-inch-Intel)-AIO/LEN102C0007,LEN102C0007,553.74,4.5,97,"<ul style=""list-style-type: disc;""><li><p>23.8&quot; all-in-one hybrid workplace PC</p></li><li><p>Intuitive AI-based online meeting tools</p></li><li><p>FHD display, Harman<sup>®</sup>-certified speakers</p></li></ul><p><br/></p>",https://p4-ofp.static.pub/fes/cms/2021/12/17/6tvp35v3q9edqribn8wvqsgv2ecy2h809968.png
,2,2,WMD00000404_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M70t,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-towers/ThinkCentre-M70t/WMD00000404,WMD00000404,425.00,4.3,38,<ul><li>13.6L tower with room for expansion</li> <li>Latest 10th Gen Intel® Core processors</li> <li>Data &amp; hardware security built-in</li></ul>,https://p4-ofp.static.pub/fes/cms/2022/07/15/9795i4r90d6ldfm411i7ib5z2uk34z870418.png
,3,2,WMD00000423_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M75n IoT Thin Client,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-thin-clients/ThinkCentre-M75n-IoT-Thin-Client/WMD00000423,WMD00000423,324.00,4.0,20,"<div><ul><li>AMD-powered, 0.5L industrial nano PC</li><li>Top security features &amp; next-gen connectivity</li><li>Durable, withstands temperatures up to 50˚C (122˚F)</li></ul></div>",https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MjU3NjF8aW1hZ2UvcG5nfGgzZi9oN2MvMTA5Njk5Nzc2NTEyMzAucG5nfGE2NjdmNGQ0NjFjY2FmNzQwNGYzYTMwY2VjMzRlYjM3ZmE4MDM3OGM5Njg1NWVkOWM3ZWVmZjIwYjAwOTMyMmY/lenovo-thinkcentre-m75n-iot-thin-client-series-hero.png
,4,2,WMD00000408_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M75n IoT,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-nano-series/ThinkCentre-M75n-IoT/WMD00000408,WMD00000408,413.00,4.4,45,"<ul style=""list-style-type: disc;""><li><p><span style=""font-family: sans-serif; font-size: 16px;"">AMD-powered 0.5L industrial nano PC</span><br/></p></li><li><p>Enhanced security &amp; next-gen connectivity</p></li><li><p>Withstands temperatures up to 50˚C (122˚F)</p></li></ul>",https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MjU3NjF8aW1hZ2UvcG5nfGhlMS9oZmMvMTA4OTI2ODg2MjE1OTgucG5nfDZjY2M2NjMyZjNlMWNlYzcwYmEwZjk2ZGQ0MDBhMTBmYmZiZTgyMDczMzBmMzc0YWQyNjE1ODllNGZhMmNiODI/lenovo-thinkcentre-m75n-iot-amd-series-hero.png
,0,2,WMD00000429_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkStation P620,https://www.lenovo.com/us/en/p/workstations/thinkstation-p-series/ThinkStation-P620/WMD00000429,WMD00000429,2529.45,4.4,268,"<ul style=""list-style-type: disc;""><li><p>Powered by AMD Ryzen<sup>™ </sup>Threadripper<sup>™ </sup>PRO</p></li><li><p>Choice of operating systems</p></li><li><p>Up to 2 NVIDIA<sup>®</sup> RTX<sup>™</sup> graphics cards</p></li></ul><p><br/></p>",https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NDE0NTN8aW1hZ2UvcG5nfGg0NC9oYzkvMTEwNzYyNTY0OTc2OTQucG5nfGQ2NDMwN2NhMWMxZTdiNjdiMWE2Yjk4ZDM4ZTVhNjE3YzQ4OTQ2YTZiNmYxN2NlN2U2ZjkwZjllMmIwOTk5NTc/lenovo-tower-think-thinkstation-p620-front.png
,1,2,33TS3TPP520_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkStation P520,https://www.lenovo.com/us/en/p/workstations/thinkstation-p-series/ThinkStation-P520/33TS3TPP520,33TS3TPP520,1517.45,4.5,116,"<ul><li>Powerful processing, professional graphics</li><li>Super-fast memory, storage, &amp; I/O technology</li><li>VR-ready &amp; ISV-certified workstation</li></ul>",https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MjMzOTd8aW1hZ2UvcG5nfGhmMi9oMzEvOTU3NTE5MDIwMDM1MC5wbmd8MWRiYTUyZTdhNDdkYmRjYjU3YmZjN2Y4OTgyZjZhYzQ1NTViMTdjODFiMmViYTY0ZGQ2MmNjZjM0ZmU1MGI0NQ/lenovo-thinkstation-p520-front.png
,2,2,33TS3TPP720_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkStation P720,https://www.lenovo.com/us/en/p/workstations/thinkstation-p-towers/ThinkStation-P720/33TS3TPP720,33TS3TPP720,2358.95,4.3,41,"<ul><li><p>Feature-rich, dual-processor workstation</p></li><li><p>Unparalleled versatility &amp; steadfast reliability</p></li><li><p>Ideal for the most demanding workflows</p></li></ul>",https:https://static.lenovo.com/na/subseries/series-thumbnail/lenovo-thinkstation-p720-tower-series-thumbnail.png
,3,2,33TS3TP520C_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkStation P520c,https://www.lenovo.com/us/en/p/workstations/thinkstation-p-towers/ThinkStation-P520c/33TS3TP520C,33TS3TP520C,1390.95,4.1,149,"<ul><li>Compact, high-performance 25L tower</li><li>VR-ready, ISV-certified, &amp; energy-efficient</li><li>Highly configurable, reliable, &amp; affordable</li></ul>",https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MjMxNDF8aW1hZ2UvcG5nfGhlMC9oNjAvOTU3NDQyNzkxODM2Ni5wbmd8Njk3NGM0YmY3YTE2ZDZhODBlNDMxZmEyYmNkZDcwYjllMmZkMGIzNGE1MDk0NTlmNzM0YTFmMjgyNWNlODNiMg/lenovo-thinkstation-p520c-front.png
,4,2,WMD00000404_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M70t,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-towers/ThinkCentre-M70t/WMD00000404,WMD00000404,425.00,4.3,38,<ul><li>13.6L tower with room for expansion</li> <li>Latest 10th Gen Intel® Core processors</li> <li>Data &amp; hardware security built-in</li></ul>,https://p4-ofp.static.pub/fes/cms/2022/07/15/9795i4r90d6ldfm411i7ib5z2uk34z870418.png
,5,2,99IC9300342_0e49db5e-0834-41ba-84fe-f796497ba9fc,IdeaCentre 3 07ADA05,https://www.lenovo.com/us/en/p/desktops/ideacentre/300-series/IdeaCentre-3-07ADA05/99IC9300342,99IC9300342,399.99,4.1,971,"<ul><li>Powerful budget friendly AMD Ryzen processing</li><li>Ports include 8 USB, HDMI, and optical disk drive</li><li>Great for home use</li></ul>",https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTI5NDB8aW1hZ2UvcG5nfGg3Yy9oZmIvMTA4Mjc3NTY4OTYyODYucG5nfGIzNWE3ZmY5OTM1YTA2ODJkODkwNTc2YjQyOWI3YjcxZDE0Y2QyMmMwNTczYjhhMGVhYjkzOThkODEzNzVhOTU/desktop-ideacentre-300serires-3-amd-front.png
,6,2,33TS3TPP920_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkStation P920,https://www.lenovo.com/us/en/p/workstations/thinkstation-p-towers/ThinkStation-P920/33TS3TPP920,33TS3TPP920,2639.45,4.2,72,"<ul><li><p>Top-of-the-line, dual-processor workstation</p></li><li><p>Groundbreaking GPU performance</p></li><li><p>Ideal for the highest-performance workflows</p></li></ul>",https:https://static.lenovo.com/na/subseries/thumbs/lenovo-thinkstation-p920-series-thumbnail.png
,7,2,11TC1MDM92S_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M920s,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-sff/ThinkCentre-M920s/11TC1MDM92S,11TC1MDM92S,1309.00,4.5,230,"<ul> <li>Intel vPro small form factor</li> <li>Next-gen processing, memory, &amp; storage</li> <li>Data &amp; hardware security built in</li> </ul>",https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8MTYwNzd8aW1hZ2UvcG5nfGgxYy9oNTcvOTc3NTI5NzQ2MjMwMi5wbmd8OGU5MmU3OGE5ZmUyNTVkNDU5MzU0YzZmMmZiOTNmMmRhYjczN2NiMDQ0ZDhkZTM1ZDdkODhhYjMyOWJiZjY2ZA/lenovo-desktop-thinkcentre-m920-sff-front.png
,0,2,WMD00000403_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M90a,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-aio/ThinkCentre-M90a/WMD00000403,WMD00000403,688.00,4.4,141,"<ul style=""list-style-type: disc;""><li><p>23.8&quot; all-in-one business PC</p></li><li><p>State-of-the-art privacy &amp; security features</p></li><li><p>Built-in cable management, keyboard garage, &amp; phone holder</p></li></ul>",https://p4-ofp.static.pub/fes/cms/2022/09/23/3q10s8so2djk5u2ii03pxhzqo1qiox927968.png
,1,2,WMD00000402_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M70a,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-aio/ThinkCentre-M70a/WMD00000402,WMD00000402,604.00,4.6,124,"<ul style=""list-style-type: disc;""><li><p>Powerful 21.5&quot; enterprise all-in-one PC<br/></p></li><li><p>Enhanced security, with next-gen ports</p></li><li><p>FHD wide-angle display, with Dolby Atmos<sup>®</sup></p></li></ul>",https://p3-ofp.static.pub/fes/cms/2022/04/05/6ds2t9sswl8486rwpsnwwv3f2wc5pt818491.png
,2,2,WMD00000404_0e49db5e-0834-41ba-84fe-f796497ba9fc,ThinkCentre M70t,https://www.lenovo.com/us/en/p/desktops/thinkcentre/m-series-towers/ThinkCentre-M70t/WMD00000404,WMD00000404,425.00,4.3,38,<ul><li>13.6L tower with room for expansion</li> <li>Latest 10th Gen Intel® Core processors</li> <li>Data &amp; hardware security built-in</li></ul>,https://p4-ofp.static.pub/fes/cms/2022/07/15/9795i4r90d6ldfm411i7ib5z2uk34z870418.png
,3,2,FFYGF900316_0e49db5e-0834-41ba-84fe-f796497ba9fc,Yoga A940-27ICB,https://www.lenovo.com/us/en/p/desktops/ideacentre/yoga-a-series/Yoga-A940-27ICB/FFYGF900316,FFYGF900316,1903.99,4.5,819,<ul> <li>27” all-in-one desktop for creators</li> <li>Dazzling 4K display with Dolby Vision HDR</li> <li>Includes Active Pen and Content Creation Dial</li> </ul>,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8Mjg5ODB8aW1hZ2UvcG5nfGg5Ni9oNDYvOTg4MzU2MDgwNDM4Mi5wbmd8ZTQ2Zjc1MGIzMWQ5ZmEwM2Y1NDYwOWYyZWY3YmNjYWQwYzVmOGE2M2YyNGZlYzE0ZjU2YzRhZGQ5MDhmMGNlZQ/lenovo-desktop-yoga-a940-front.png
,0,2,LEN102G0004_0e49db5e-0834-41ba-84fe-f796497ba9fc,Legion Tower 5i Gen 7 (Intel),https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/Legion-Tower-5i-Gen-7-(Intel)/LEN102G0004,LEN102G0004,1139.99,4.5,180,"<ul style=""list-style-type: disc;""><li><p>Accelerated processor &amp; graphics performance with Intel<sup>®</sup> Turbo Boost Technology</p></li><li><p>Enjoy the most realistic ray-traced graphics and cutting-edge AI features with NVIDIA</p></li><li><p>Enhanced cooling technology, 3 months free Xbox Game Pass &amp; more</p></li></ul>",https://p1-ofp.static.pub/fes/cms/2022/01/17/1n49p6jjgcbiz9nxtzfc9j8jonthi7387108.png
,1,2,WMD00000496_0e49db5e-0834-41ba-84fe-f796497ba9fc,Legion Tower 5i Gen 6 (Intel),https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/Legion-Tower-5i-Gen-6-(Intel)/WMD00000496,WMD00000496,1229.99,4.6,563,"<ul style=""list-style-type: disc;""><li><p>Gaming PC with 11<sup>th</sup> Gen Intel<sup>®</sup> Core™ power</p></li><li><p>Up to NVIDIA<sup>®</sup> GeForce RTX™ 30 Series graphics</p></li><li><p>Sleek 26 L tower with Raven Black frame</p></li></ul>",https://p1-ofp.static.pub/fes/cms/2022/09/29/57p3xbdezt42uuwg2mjwcsywolfswo185156.png
,2,2,LEN102G0003_0e49db5e-0834-41ba-84fe-f796497ba9fc,Legion Tower 7i Gen 7 (Intel),https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/Legion-Tower-7i-Gen-7-(Intel)/LEN102G0003,LEN102G0003,1629.99,4.6,298,"<ul style=""list-style-type: disc;""><li><p>Up to 12<sup>th</sup>&nbsp;Gen Intel<sup>®</sup>&nbsp;Core<sup>™</sup> i9-12900K</p></li><li><p>Up to NVIDIA<sup>®</sup>&nbsp;GeForce<sup><span style=""font-size: 13.3333px;"">®</span></sup> RTX™ 3080 Ti</p></li><li><p>3 x 120mm fans; optional 360mm liquid cooling</p></li></ul>",https://p2-ofp.static.pub/fes/cms/2022/01/10/l8n3dx6ka5r0nlx4nc7nixpkvtfgtz985425.png
,3,2,LEN102D0024_0e49db5e-0834-41ba-84fe-f796497ba9fc,IdeaCentre Gaming 5i Gen 7 (17L Intel),https://www.lenovo.com/us/en/p/desktops/ideacentre/500-series/IdeaCentre-Gaming-5i-Gen-7-(17L-Intel)/LEN102D0024,LEN102D0024,999.99,4.7,148,"<ul style=""list-style-type: disc;""><li><p>Future-proof gaming PC with great expandability</p></li><li><p>Up to 12<sup>th</sup> Gen Intel<sup>® </sup>Core™ processors for elite performance</p></li><li><p>Up to NVIDIA<sup>®</sup> GeForce<sup><span style=""font-size: 13.3333px;"">®</span> </sup>graphics for superior gaming</p></li></ul>",https://p1-ofp.static.pub/fes/cms/2022/06/13/az9ltod9d0bsn1cut3j8u25s0kya83097670.png
,4,2,LEN102G0007_0e49db5e-0834-41ba-84fe-f796497ba9fc,Legion Tower 7i Gen 8 (34L Intel),https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/Legion-Tower-7i-Gen-8-(34L-Intel)/LEN102G0007,LEN102G0007,2899.99,3.4,7,"<ul style=""list-style-type: disc;""><li><p>Boss-level 13<sup>th</sup> Gen Intel Core™ processors</p></li><li><p>Lifelike graphics with NVIDIA<sup>®</sup> GeForce RTX™ 40 Series GPUs</p></li><li><p>Stay frosty with 250W liquid cooling or 170W air cooling</p></li></ul>",https://p1-ofp.static.pub/fes/cms/2022/12/21/41mh39xapmky2iqokbcpvkhuiiynjr880676.png
,5,2,99LE9500368_0e49db5e-0834-41ba-84fe-f796497ba9fc,Lenovo Legion T5 26AMR5,https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/Lenovo-Legion-T5-26AMR5/99LE9500368,99LE9500368,989.99,4.6,1270,<ul><li>Mind-blowing AMD Ryzen 3000 series processors</li><li>AMD &amp; NVIDIA<sup>®</sup> GeForce<sup>®</sup> graphics options</li><li>Enhanced 26L pure gaming tower</li></ul>,https://p1-ofp.static.pub/medias/bWFzdGVyfHJvb3R8NjQ4NDF8aW1hZ2UvcG5nfGhlOS9oZWQvMTA5ODc1NjU4NzUyMzAucG5nfDE2M2MwNmVkZDcyZDMwZThkYzJmZDIwZGU5ZTFhYTA1NDlkOGI0MzQ0MGVjYmQ5NzZlOGM3ZDQzZTkwMjAzNmQ/lenovo-desktop-legion-tower-5-amd-series-thumbnail.png
,6,2,LEN102G0006_0e49db5e-0834-41ba-84fe-f796497ba9fc," Legion Tower 5i Gen 8 (26L, Intel)","https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/-Legion-Tower-5i-Gen-8-(26L,-Intel)/LEN102G0006",LEN102G0006,1129.99,0.0,0,"<ul style=""list-style-type: disc;""><li><p>Powerhouse 13<sup>th</sup> Gen Intel<sup>®</sup> Core™ CPUs</p></li><li><p>Speedy NVIDIA<sup>®</sup> RTX™ 40 Series graphics</p></li><li><p>Extreme air cooling for intense gameplay</p></li></ul>",https://p4-ofp.static.pub/fes/cms/2022/12/15/xbyho55v19lq9mn3jpq5sptcxnyib8111566.png
,7,2,LEN102G0005_0e49db5e-0834-41ba-84fe-f796497ba9fc,"Legion Tower 5 Gen 8 (26L, AMD)","https://www.lenovo.com/us/en/p/desktops/legion-desktops/legion-t-series-towers/Legion-Tower-5-Gen-8-(26L,-AMD)/LEN102G0005",LEN102G0005,1269.99,0.0,0,"<ul style=""list-style-type: disc;""><li><p style=""margin-bottom: 0px;"">Gaming PC with fast AMD Ryzen™ processing</p></li><li><p>Future-proof graphics from NVIDIA<sup>®</sup></p></li><li><p>New-look chassis with advanced air cooling</p></li></ul>",https://p1-ofp.static.pub/fes/cms/2022/12/02/p7p9hjlblhzseiuna6o6hmdljgwbc2597290.png
